origin	name	size	site	multiplicity	edge_num	like_weight_ratio	post_prob	classification	scientific_name	domain_id	domain_name	division_id	division_name	class_id	class_name
COG0556.aligned	.1-.8_coastal_FGI7SFI01A0JY1_14	.1-.8	coastal	1	2351	1	1	62654	SAR116 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0004.aligned	.1-.8_coastal_FGI7SFI01A0JYV_9	.1-.8	coastal	1	2736	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2759.aligned	.1-.8_coastal_FGI7SFI01A0K0P_4	.1-.8	coastal	1	1038	0.375225	0.311259	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1663.aligned	.1-.8_coastal_FGI7SFI01A0K3V_7	.1-.8	coastal	1	272	0.872069	0.954023	206350	Methylophilales	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG0228.aligned	.1-.8_coastal_FGI7SFI01A0K8T_4	.1-.8	coastal	1	1021	0.460476	0.497396	1508657	Ruminiclostridium	2	Bacteria	1239	Firmicutes	186801	Clostridia
COG0302.aligned	.1-.8_coastal_FGI7SFI01A0KH6_10	.1-.8	coastal	1	3302	0.411591	0.426018	89404	Glaciecola	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1086.aligned	.1-.8_coastal_FGI7SFI01A0KH9_8	.1-.8	coastal	1	2088	0.712529	0.782884	85007	Corynebacterineae	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG4973.aligned	.1-.8_coastal_FGI7SFI01A0KJM_5	.1-.8	coastal	1	936	0.996009	0.997583	33809	unclassified Betaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG1592.aligned	.1-.8_coastal_FGI7SFI01A0KWQ_2	.1-.8	coastal	1	1597	0.419879	0.637947	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0539.aligned	.1-.8_coastal_FGI7SFI01A0KXN_10	.1-.8	coastal	1	652	1	1	414999	Opitutae	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0530.aligned	.1-.8_coastal_FGI7SFI01A0LC1_10	.1-.8	coastal	1	1830	0.474732	0.420495	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1960.aligned	.1-.8_coastal_FGI7SFI01A0LTF_7	.1-.8	coastal	1	704	0.549625	0.616845	522	Acidiphilium	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0263.aligned	.1-.8_coastal_FGI7SFI01A0LYA_3	.1-.8	coastal	1	774	0.889357	0.960127	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1012.aligned	.1-.8_coastal_FGI7SFI01A0M03_16	.1-.8	coastal	1	833	0.618747	0.636461	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1105.aligned	.1-.8_coastal_FGI7SFI01A0M14_17	.1-.8	coastal	1	2083	0.275942	0.393038	33850	Bacillariophycidae	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG2225.aligned	.1-.8_coastal_FGI7SFI01A0M28_2	.1-.8	coastal	1	201	0.462914	0.688332	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2962.aligned	.1-.8_coastal_FGI7SFI01A0M5C_4	.1-.8	coastal	1	2740	0.532951	0.565242	286	Pseudomonas	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0254.aligned	.1-.8_coastal_FGI7SFI01A0MW2_6	.1-.8	coastal	1	1953	0.67666	0.625034	84374	environmental samples	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0536.aligned	.1-.8_coastal_FGI7SFI01A0N6T_10	.1-.8	coastal	1	3608	0.800558	0.729595	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0536.aligned	.1-.8_coastal_FGI7SFI01A0N6T_14	.1-.8	coastal	1	3608	0.966601	0.926446	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG3808.aligned	.1-.8_coastal_FGI7SFI01A0N7G_5	.1-.8	coastal	1	1176	0.747672	0.860018	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0532.aligned	.1-.8_coastal_FGI7SFI01A0NC7_13	.1-.8	coastal	1	6033	0.284291	0.374193	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG4664.aligned	.1-.8_coastal_FGI7SFI01A0NDG_9	.1-.8	coastal	1	48	0.871822	0.867413	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1290.aligned	.1-.8_coastal_FGI7SFI01A0NJ4_15	.1-.8	coastal	1	4820	1	1	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0128.aligned	.1-.8_coastal_FGI7SFI01A0NM2_7	.1-.8	coastal	1	747	0.997958	0.992654	204455	Rhodobacterales	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0069.aligned	.1-.8_coastal_FGI7SFI01A0NNB_7	.1-.8	coastal	1	2206	0.424628	0.549982	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1071.aligned	.1-.8_coastal_FGI7SFI01A0NT8_6	.1-.8	coastal	1	1944	0.905382	0.981405	33072	Gloeobacter violaceus	2	Bacteria	1117	Cyanobacteria	307596	Gloeobacteria
COG0323.aligned	.1-.8_coastal_FGI7SFI01A0NZ1_7	.1-.8	coastal	1	1130	0.380879	0.462286	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0538.aligned	.1-.8_coastal_FGI7SFI01A0OBU_13	.1-.8	coastal	1	403	1	1	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1109.aligned	.1-.8_coastal_FGI7SFI01A0OUV_5	.1-.8	coastal	1	2185	0.489174	0.664954	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1109.aligned	.1-.8_coastal_FGI7SFI01A0OYT_5	.1-.8	coastal	1	882	0.105478	0.123716	270	Thermus	2	Bacteria	1297	Deinococcus-Thermus	188787	Deinococci
COG0143.aligned	.1-.8_coastal_FGI7SFI01A0OZD_10	.1-.8	coastal	1	4446	0.667777	0.863316	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG5470.aligned	.1-.8_coastal_FGI7SFI01A0P36_4	.1-.8	coastal	1	680	0.623422	0.732976	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0519.aligned	.1-.8_coastal_FGI7SFI01A0Q6N_3	.1-.8	coastal	1	1123	0.889352	0.901931	89373	Cytophagaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0858.aligned	.1-.8_coastal_FGI7SFI01A0Q8V_4	.1-.8	coastal	1	2818	0.493816	0.552998	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2761.aligned	.1-.8_coastal_FGI7SFI01A0Q8Y_18	.1-.8	coastal	1	2028	0.934674	0.974053	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0056.aligned	.1-.8_coastal_FGI7SFI01A0QAP_13	.1-.8	coastal	1	3956	0.937298	0.972501	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2962.aligned	.1-.8_coastal_FGI7SFI01A0QBW_5	.1-.8	coastal	1	597	0.192172	0.265059	653685	Bacillus subtilis group	2	Bacteria	1239	Firmicutes	91061	Bacilli
COG1999.aligned	.1-.8_coastal_FGI7SFI01A0QEH_16	.1-.8	coastal	1	705	0.998986	0.99896	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0057.aligned	.1-.8_coastal_FGI7SFI01A0QPN_9	.1-.8	coastal	1	1772	0.354837	0.547454	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1033.aligned	.1-.8_coastal_FGI7SFI01A0QW6_12	.1-.8	coastal	1	791	0.45364	0.668161	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0029.aligned	.1-.8_coastal_FGI7SFI01A0QZO_6	.1-.8	coastal	1	2540	0.690659	0.649039	89373	Cytophagaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1198.aligned	.1-.8_coastal_FGI7SFI01A0R5N_5	.1-.8	coastal	1	1115	0.965968	0.971581	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0044.aligned	.1-.8_coastal_FGI7SFI01A0R77_3	.1-.8	coastal	1	4232	0.342518	0.422239	119977	Acidithiobacillus	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1088.aligned	.1-.8_coastal_FGI7SFI01A0RA7_18	.1-.8	coastal	1	738	0.989657	0.973963	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0820.aligned	.1-.8_coastal_FGI7SFI01A0RL8_2	.1-.8	coastal	1	1963	0.939485	0.928475	1760	Actinobacteria	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0489.aligned	.1-.8_coastal_FGI7SFI01A0RMB_16	.1-.8	coastal	1	3115	1	1	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0372.aligned	.1-.8_coastal_FGI7SFI01A0ROX_4	.1-.8	coastal	1	3224	0.971772	0.977732	135619	Oceanospirillales	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0289.aligned	.1-.8_coastal_FGI7SFI01A0S38_6	.1-.8	coastal	1	3051	1	1	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG0547.aligned	.1-.8_coastal_FGI7SFI01A0S4B_14	.1-.8	coastal	1	2967	1	1	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0442.aligned	.1-.8_coastal_FGI7SFI01A0SCI_4	.1-.8	coastal	1	934	0.851154	0.813936	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0528.aligned	.1-.8_coastal_FGI7SFI01A0SU4_15	.1-.8	coastal	1	3779	0.836486	0.834356	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG4658.aligned	.1-.8_coastal_FGI7SFI01A0SV8_2	.1-.8	coastal	1	1269	0.944349	0.952713	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0794.aligned	.1-.8_coastal_FGI7SFI01A0T85_5	.1-.8	coastal	1	1119	0.733478	0.807472	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0567.aligned	.1-.8_coastal_FGI7SFI01A0TCS_13	.1-.8	coastal	1	1621	0.461528	0.405957	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0587.aligned	.1-.8_coastal_FGI7SFI01A0TE7_16	.1-.8	coastal	1	2854	0.721251	0.816953	62654	SAR116 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0015.aligned	.1-.8_coastal_FGI7SFI01A0TEA_3	.1-.8	coastal	1	3661	0.981847	0.983216	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0161.aligned	.1-.8_coastal_FGI7SFI01A0TGE_7	.1-.8	coastal	1	2662	1	1	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1301.aligned	.1-.8_coastal_FGI7SFI01A0TNS_5	.1-.8	coastal	1	3161	0.141241	0.16902	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0209.aligned	.1-.8_coastal_FGI7SFI01A0TRZ_15	.1-.8	coastal	1	4464	0.231611	0.530057	686602	unassigned Podoviridae	10239	Viruses	28883	Caudovirales	10744	Podoviridae
COG0060.aligned	.1-.8_coastal_FGI7SFI01A0TS2_11	.1-.8	coastal	1	129	0.468813	0.493645	28231	Geobacter	2	Bacteria	1224	Proteobacteria	68525	delta/epsilon subdivisions
COG0459.aligned	.1-.8_coastal_FGI7SFI01A0TUF_14	.1-.8	coastal	1	3187	0.652066	0.824765	2791	Porphyridium	2759	Eukaryota	2763	Rhodophyta	2797	Bangiophyceae
COG1133.aligned	.1-.8_coastal_FGI7SFI01A0TVQ_3	.1-.8	coastal	1	15	0.988119	0.982151	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG4770.aligned	.1-.8_coastal_FGI7SFI01A0U33_16	.1-.8	coastal	1	1275	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0185.aligned	.1-.8_coastal_FGI7SFI01A0U3F_9	.1-.8	coastal	1	2257	0.725116	0.734175	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG4175.aligned	.1-.8_coastal_FGI7SFI01A0U5H_1	.1-.8	coastal	1	428	0.988553	0.98847	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2992.aligned	.1-.8_coastal_FGI7SFI01A0UPX_4	.1-.8	coastal	1	319	1	1	82117	unclassified Alphaproteobacteria	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0843.aligned	.1-.8_coastal_FGI7SFI01A0URG_3	.1-.8	coastal	1	5174	1	1	72273	Thiotrichales	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0471.aligned	.1-.8_coastal_FGI7SFI01A0UZ6_4	.1-.8	coastal	1	2558	0.485855	0.652937	171549	Bacteroidales	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1111.aligned	.1-.8_coastal_FGI7SFI01A0VAS_18	.1-.8	coastal	1	674	0.455854	0.453495	651137	Thaumarchaeota	2157	Archaea	651137	Thaumarchaeota	-1	NULL
COG0084.aligned	.1-.8_coastal_FGI7SFI01A0VBK_14	.1-.8	coastal	1	3929	0.813287	0.596561	265316	Cyanidiaceae	2759	Eukaryota	2763	Rhodophyta	2797	Bangiophyceae
COG0197.aligned	.1-.8_coastal_FGI7SFI01A0VE9_7	.1-.8	coastal	1	2129	0.495564	0.303436	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1012.aligned	.1-.8_coastal_FGI7SFI01A0WAH_9	.1-.8	coastal	1	3263	0.965365	0.966713	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0376.aligned	.1-.8_coastal_FGI7SFI01A0WCM_5	.1-.8	coastal	1	1358	0.290345	0.448025	2742	Marinobacter	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG3828.aligned	.1-.8_coastal_FGI7SFI01A0WMQ_7	.1-.8	coastal	1	187	0.471837	0.276778	28453	Sphingobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0841.aligned	.1-.8_coastal_FGI7SFI01A0WO8_15	.1-.8	coastal	1	1650	0.350696	0.448596	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0481.aligned	.1-.8_coastal_FGI7SFI01A0WVN_8	.1-.8	coastal	1	3967	0.997848	0.998204	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG5265.aligned	.1-.8_coastal_FGI7SFI01A0WVT_5	.1-.8	coastal	1	3051	0.643819	0.661417	417295	unclassified Verrucomicrobia (miscellaneous)	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0436.aligned	.1-.8_coastal_FGI7SFI01A0WYP_17	.1-.8	coastal	1	3707	0.432048	0.511081	52959	Polaribacter	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG4603.aligned	.1-.8_coastal_FGI7SFI01A0XBO_6	.1-.8	coastal	1	30	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0116.aligned	.1-.8_coastal_FGI7SFI01A0XBX_16	.1-.8	coastal	1	2818	1	1	237	Flavobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG3968.aligned	.1-.8_coastal_FGI7SFI01A0XCP_14	.1-.8	coastal	1	1423	0.204674	0.200351	49237	Chaetoceros	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG0165.aligned	.1-.8_coastal_FGI7SFI01A0XD7_14	.1-.8	coastal	1	2207	0.456494	0.621388	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1256.aligned	.1-.8_coastal_FGI7SFI01A0XJ4_5	.1-.8	coastal	1	2249	0.948022	0.974536	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2885.aligned	.1-.8_coastal_FGI7SFI01A0XJH_6	.1-.8	coastal	1	535	0.73099	0.80318	171	Leptospira	2	Bacteria	203691	Spirochaetes	203692	Spirochaetia
COG0458.aligned	.1-.8_coastal_FGI7SFI01A0XPJ_15	.1-.8	coastal	1	3792	0.740052	0.782721	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0069.aligned	.1-.8_coastal_FGI7SFI01A0XYM_6	.1-.8	coastal	1	3791	0.216001	0.302479	28211	Alphaproteobacteria	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0860.aligned	.1-.8_coastal_FGI7SFI01A0Y8Y_2	.1-.8	coastal	1	1221	1	1	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0050.aligned	.1-.8_coastal_FGI7SFI01A0ZHP_13	.1-.8	coastal	1	2523	0.936427	0.951751	744995	OMG group	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1249.aligned	.1-.8_coastal_FGI7SFI01A0ZMQ_12	.1-.8	coastal	1	3916	1	1	78537	unclassified Actinobacteria (miscellaneous)	2	Bacteria	201174	Actinobacteria	1760	Actinobacteria
COG2068.aligned	.1-.8_coastal_FGI7SFI01A0ZOV_13	.1-.8	coastal	1	1353	0.431044	0.577223	237	Flavobacterium	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1185.aligned	.1-.8_coastal_FGI7SFI01A1018_7	.1-.8	coastal	1	1373	0.12924	0.103377	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG2020.aligned	.1-.8_coastal_FGI7SFI01A1060_6	.1-.8	coastal	1	2286	0.99077	0.993694	70447	Ostreococcus	2759	Eukaryota	33090	Viridiplantae	3041	Chlorophyta
COG1804.aligned	.1-.8_coastal_FGI7SFI01A10IM_16	.1-.8	coastal	1	671	0.94844	0.945857	135620	Oceanospirillaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0174.aligned	.1-.8_coastal_FGI7SFI01A10S3_4	.1-.8	coastal	1	1091	0.646777	0.81204	146	Spirochaeta	2	Bacteria	203691	Spirochaetes	203692	Spirochaetia
COG5481.aligned	.1-.8_coastal_FGI7SFI01A11BL_7	.1-.8	coastal	1	199	1	1	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0330.aligned	.1-.8_coastal_FGI7SFI01A11C6_7	.1-.8	coastal	1	534	0.340987	0.472717	31989	Rhodobacteraceae	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG2352.aligned	.1-.8_coastal_FGI7SFI01A11EJ_15	.1-.8	coastal	1	2136	0.655387	0.746053	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0046.aligned	.1-.8_coastal_FGI7SFI01A11H1_5	.1-.8	coastal	1	2835	1	1	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG1028.aligned	.1-.8_coastal_FGI7SFI01A11L7_4	.1-.8	coastal	1	4663	0.629058	0.740939	32008	Burkholderia	2	Bacteria	1224	Proteobacteria	28216	Betaproteobacteria
COG2609.aligned	.1-.8_coastal_FGI7SFI01A11NK_5	.1-.8	coastal	1	1	1	1	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0405.aligned	.1-.8_coastal_FGI7SFI01A11OF_3	.1-.8	coastal	1	922	0.289698	0.399767	171	Leptospira	2	Bacteria	203691	Spirochaetes	203692	Spirochaetia
COG1048.aligned	.1-.8_coastal_FGI7SFI01A11VG_5	.1-.8	coastal	1	2103	0.335799	0.372795	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0773.aligned	.1-.8_coastal_FGI7SFI01A11VW_5	.1-.8	coastal	1	1206	0.844734	0.891425	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0358.aligned	.1-.8_coastal_FGI7SFI01A12AY_7	.1-.8	coastal	1	1215	0.92279	0.847573	204455	Rhodobacterales	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0126.aligned	.1-.8_coastal_FGI7SFI01A12CT_4	.1-.8	coastal	1	1706	0.982824	0.984992	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0677.aligned	.1-.8_coastal_FGI7SFI01A12HN_16	.1-.8	coastal	1	503	0.289063	0.336202	3041	Chlorophyta	2759	Eukaryota	33090	Viridiplantae	3041	Chlorophyta
COG0096.aligned	.1-.8_coastal_FGI7SFI01A12RF_18	.1-.8	coastal	1	1495	0.336632	0.515544	1016	Capnocytophaga	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1611.aligned	.1-.8_coastal_FGI7SFI01A12RL_7	.1-.8	coastal	1	628	0.144816	0.192889	64898	Aquificaceae	2	Bacteria	200783	Aquificae	187857	Aquificae
COG2265.aligned	.1-.8_coastal_FGI7SFI01A12SB_12	.1-.8	coastal	1	4063	0.971105	0.961061	74201	Verrucomicrobia	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG5265.aligned	.1-.8_coastal_FGI7SFI01A12Z7_8	.1-.8	coastal	1	140	1	1	118968	Coxiellaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0325.aligned	.1-.8_coastal_FGI7SFI01A138P_9	.1-.8	coastal	1	2223	0.651889	0.712367	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG0508.aligned	.1-.8_coastal_FGI7SFI01A143G_17	.1-.8	coastal	1	2973	0.92835	0.946502	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG1191.aligned	.1-.8_coastal_FGI7SFI01A143J_8	.1-.8	coastal	1	1783	0.996037	0.997319	33807	unclassified Alphaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1314.aligned	.1-.8_coastal_FGI7SFI01A14BN_6	.1-.8	coastal	1	1693	0.998801	0.993755	198251	Candidatus Pelagibacter	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1314.aligned	.1-.8_coastal_FGI7SFI01A14DB_14	.1-.8	coastal	1	2397	0.657531	0.683077	135619	Oceanospirillales	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0587.aligned	.1-.8_coastal_FGI7SFI01A14KS_9	.1-.8	coastal	1	343	0.215765	0.250864	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1994.aligned	.1-.8_coastal_FGI7SFI01A14QC_4	.1-.8	coastal	1	266	0.323288	0.427851	49237	Chaetoceros	2759	Eukaryota	33634	Stramenopiles	2836	Bacillariophyta
COG1159.aligned	.1-.8_coastal_FGI7SFI01A14T4_18	.1-.8	coastal	1	1552	1	1	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG3288.aligned	.1-.8_coastal_FGI7SFI01A14XL_13	.1-.8	coastal	1	956	0.229973	0.384528	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG0327.aligned	.1-.8_coastal_FGI7SFI01A150A_9	.1-.8	coastal	1	738	0.882077	0.901481	52959	Polaribacter	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG1508.aligned	.1-.8_coastal_FGI7SFI01A154K_20	.1-.8	coastal	1	844	0.407514	0.392425	49546	Flavobacteriaceae	2	Bacteria	68336	Bacteroidetes/Chlorobi group	976	Bacteroidetes
COG0711.aligned	.1-.8_coastal_FGI7SFI01A15DT_5	.1-.8	coastal	1	2573	1	1	442430	Coraliomargarita	2	Bacteria	51290	Chlamydiae/Verrucomicrobia group	74201	Verrucomicrobia
COG0151.aligned	.1-.8_coastal_FGI7SFI01A15HV_6	.1-.8	coastal	1	2035	0.145863	0.142704	468	Moraxellaceae	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2251.aligned	.1-.8_coastal_FGI7SFI01A15PR_7	.1-.8	coastal	1	301	0.469165	0.54658	1219	Prochlorococcus marinus	2	Bacteria	1117	Cyanobacteria	1212	Prochlorales
COG0317.aligned	.1-.8_coastal_FGI7SFI01A15TZ_13	.1-.8	coastal	1	1794	0.298153	0.272502	54526	SAR11 cluster	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1207.aligned	.1-.8_coastal_FGI7SFI01A15ZH_5	.1-.8	coastal	1	987	0.996666	0.995391	33811	unclassified Gammaproteobacteria (miscellaneous)	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
COG2812.aligned	.1-.8_coastal_FGI7SFI01A16DC_9	.1-.8	coastal	1	3677	0.490798	0.734152	198252	Candidatus Pelagibacter ubique	2	Bacteria	1224	Proteobacteria	28211	Alphaproteobacteria
COG1932.aligned	.1-.8_coastal_FGI7SFI01A16KB_14	.1-.8	coastal	1	279	1	1	744996	OM60 clade	2	Bacteria	1224	Proteobacteria	1236	Gammaproteobacteria
